token	modality	description	chapter
DO66	diag	Other obstructed labour	Pregnancy, childbirth and the puerperium
DO67	diag	Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified	Pregnancy, childbirth and the puerperium
DO68	diag	Labour and delivery complicated by fetal stress [distress]	Pregnancy, childbirth and the puerperium
DO69	diag	Labour and delivery complicated by umbilical cord complications	Pregnancy, childbirth and the puerperium
DO70	diag	Perineal laceration during delivery	Pregnancy, childbirth and the puerperium
DO71	diag	Other obstetric trauma	Pregnancy, childbirth and the puerperium
DO72	diag	Postpartum haemorrhage	Pregnancy, childbirth and the puerperium
DO73	diag	Retained placenta and membranes, without haemorrhage	Pregnancy, childbirth and the puerperium
DO75	diag	Other complications of labour and delivery, not elsewhere classified	Pregnancy, childbirth and the puerperium
DO80	diag	Single spontaneous delivery	Pregnancy, childbirth and the puerperium
DO81	diag	Single delivery by forceps and vacuum extractor	Pregnancy, childbirth and the puerperium
DO82	diag	Single delivery by caesarean section	Pregnancy, childbirth and the puerperium
DO83	diag	Other assisted single delivery	Pregnancy, childbirth and the puerperium
DO84	diag	Multiple delivery	Pregnancy, childbirth and the puerperium
DO85	diag	Puerperal sepsis	Pregnancy, childbirth and the puerperium
DO86	diag	Other puerperal infections	Pregnancy, childbirth and the puerperium
DO87	diag	Venous complications in the puerperium	Pregnancy, childbirth and the puerperium
DO89	diag	Complications of anaesthesia during the puerperium	Pregnancy, childbirth and the puerperium
DO90	diag	Complications of the puerperium, not elsewhere classified	Pregnancy, childbirth and the puerperium
DO91	diag	Infections of breast associated with childbirth	Pregnancy, childbirth and the puerperium
DO92	diag	Other disorders of breast and lactation associated with childbirth	Pregnancy, childbirth and the puerperium
DO98	diag	Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium	Pregnancy, childbirth and the puerperium
DO99	diag	Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium	Pregnancy, childbirth and the puerperium
DP00	diag	Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy	Certain conditions originating in the perinatal period
DP01	diag	Fetus and newborn affected by maternal complications of pregnancy	Certain conditions originating in the perinatal period
DP02	diag	Fetus and newborn affected by complications of placenta, cord and membranes	Certain conditions originating in the perinatal period
DP03	diag	Fetus and newborn affected by other complications of labour and delivery	Certain conditions originating in the perinatal period
DP04	diag	Fetus and newborn affected by noxious influences transmitted via placenta or breast milk	Certain conditions originating in the perinatal period
DP05	diag	Slow fetal growth and fetal malnutrition	Certain conditions originating in the perinatal period
DP07	diag	Disorders related to short gestation and low birth weight, not elsewhere classified	Certain conditions originating in the perinatal period
DP08	diag	Disorders related to long gestation and high birth weight	Certain conditions originating in the perinatal period
DP12	diag	Birth injury to scalp	Certain conditions originating in the perinatal period
DP13	diag	Birth injury to skeleton	Certain conditions originating in the perinatal period
DP14	diag	Birth injury to peripheral nervous system	Certain conditions originating in the perinatal period
DP15	diag	Other birth injuries	Certain conditions originating in the perinatal period
DP20	diag	Intrauterine hypoxia	Certain conditions originating in the perinatal period
DP21	diag	Birth asphyxia	Certain conditions originating in the perinatal period
DP22	diag	Respiratory distress of newborn	Certain conditions originating in the perinatal period
DP23	diag	Congenital pneumonia	Certain conditions originating in the perinatal period
DP24	diag	Neonatal aspiration syndromes	Certain conditions originating in the perinatal period
DP25	diag	Interstitial emphysema and related conditions originating in the perinatal period	Certain conditions originating in the perinatal period
DP27	diag	Chronic respiratory disease originating in the perinatal period	Certain conditions originating in the perinatal period
DP28	diag	Other respiratory conditions originating in the perinatal period	Certain conditions originating in the perinatal period
DP29	diag	Cardiovascular disorders originating in the perinatal period	Certain conditions originating in the perinatal period
DP35	diag	Congenital viral diseases	Certain conditions originating in the perinatal period
DP36	diag	Bacterial sepsis of newborn	Certain conditions originating in the perinatal period
DP37	diag	Other congenital infectious and parasitic diseases	Certain conditions originating in the perinatal period
DP38	diag	Omphalitis of newborn with or without mild haemorrhage	Certain conditions originating in the perinatal period
DP39	diag	Other infections specific to the perinatal period	Certain conditions originating in the perinatal period
DP52	diag	Intracranial nontraumatic haemorrhage of fetus and newborn	Certain conditions originating in the perinatal period
DP54	diag	Other neonatal haemorrhages	Certain conditions originating in the perinatal period
DP55	diag	Haemolytic disease of fetus and newborn	Certain conditions originating in the perinatal period
DP58	diag	Neonatal jaundice due to other excessive haemolysis	Certain conditions originating in the perinatal period
DP59	diag	Neonatal jaundice from other and unspecified causes	Certain conditions originating in the perinatal period
DP61	diag	Other perinatal haematological disorders	Certain conditions originating in the perinatal period
DP70	diag	Transitory disorders of carbohydrate metabolism specific to fetus and newborn	Certain conditions originating in the perinatal period
DP71	diag	Transitory neonatal disorders of calcium and magnesium metabolism	Certain conditions originating in the perinatal period
DP74	diag	Other transitory neonatal electrolyte and metabolic disturbances	Certain conditions originating in the perinatal period
DP77	diag	Necrotizing enterocolitis of fetus and newborn	Certain conditions originating in the perinatal period
DP78	diag	Other perinatal digestive system disorders	Certain conditions originating in the perinatal period
DP83	diag	Other conditions of integument specific to fetus and newborn	Certain conditions originating in the perinatal period
DP90	diag	Convulsions of newborn	Certain conditions originating in the perinatal period
DP91	diag	Other disturbances of cerebral status of newborn	Certain conditions originating in the perinatal period
DP92	diag	Feeding problems of newborn	Certain conditions originating in the perinatal period
DP94	diag	Disorders of muscle tone of newborn	Certain conditions originating in the perinatal period
DP96	diag	Other conditions originating in the perinatal period	Certain conditions originating in the perinatal period
DQ02	diag	Microcephaly	Congenital malformations, deformations and chromosomal abnormalities
DQ03	diag	Congenital hydrocephalus	Congenital malformations, deformations and chromosomal abnormalities
DQ04	diag	Other congenital malformations of brain	Congenital malformations, deformations and chromosomal abnormalities
DQ05	diag	Spina bifida	Congenital malformations, deformations and chromosomal abnormalities
DQ06	diag	Other congenital malformations of spinal cord	Congenital malformations, deformations and chromosomal abnormalities
DQ07	diag	Other congenital malformations of nervous system	Congenital malformations, deformations and chromosomal abnormalities
DQ10	diag	Congenital malformations of eyelid, lacrimal apparatus and orbit	Congenital malformations, deformations and chromosomal abnormalities
DQ11	diag	Anophthalmos, microphthalmos and macrophthalmos	Congenital malformations, deformations and chromosomal abnormalities
DQ12	diag	Congenital lens malformations	Congenital malformations, deformations and chromosomal abnormalities
DQ13	diag	Congenital malformations of anterior segment of eye	Congenital malformations, deformations and chromosomal abnormalities
DQ14	diag	Congenital malformations of posterior segment of eye	Congenital malformations, deformations and chromosomal abnormalities
DQ15	diag	Other congenital malformations of eye	Congenital malformations, deformations and chromosomal abnormalities
DQ16	diag	Congenital malformations of ear causing impairment of hearing	Congenital malformations, deformations and chromosomal abnormalities
DQ17	diag	Other congenital malformations of ear	Congenital malformations, deformations and chromosomal abnormalities
DQ18	diag	Other congenital malformations of face and neck	Congenital malformations, deformations and chromosomal abnormalities
DQ20	diag	Congenital malformations of cardiac chambers and connections	Congenital malformations, deformations and chromosomal abnormalities
DQ21	diag	Congenital malformations of cardiac septa	Congenital malformations, deformations and chromosomal abnormalities
DQ22	diag	Congenital malformations of pulmonary and tricuspid valves	Congenital malformations, deformations and chromosomal abnormalities
DQ23	diag	Congenital malformations of aortic and mitral valves	Congenital malformations, deformations and chromosomal abnormalities
DQ24	diag	Other congenital malformations of heart	Congenital malformations, deformations and chromosomal abnormalities
DQ25	diag	Congenital malformations of great arteries	Congenital malformations, deformations and chromosomal abnormalities
DQ26	diag	Congenital malformations of great veins	Congenital malformations, deformations and chromosomal abnormalities
DQ27	diag	Other congenital malformations of peripheral vascular system	Congenital malformations, deformations and chromosomal abnormalities
DQ28	diag	Other congenital malformations of circulatory system	Congenital malformations, deformations and chromosomal abnormalities
DQ30	diag	Congenital malformations of nose	Congenital malformations, deformations and chromosomal abnormalities
DQ31	diag	Congenital malformations of larynx	Congenital malformations, deformations and chromosomal abnormalities
DQ32	diag	Congenital malformations of trachea and bronchus	Congenital malformations, deformations and chromosomal abnormalities
DQ33	diag	Congenital malformations of lung	Congenital malformations, deformations and chromosomal abnormalities
DQ35	diag	Cleft palate	Congenital malformations, deformations and chromosomal abnormalities
DQ36	diag	Cleft lip	Congenital malformations, deformations and chromosomal abnormalities
DQ37	diag	Cleft palate with cleft lip	Congenital malformations, deformations and chromosomal abnormalities
DQ38	diag	Other congenital malformations of tongue, mouth and pharynx	Congenital malformations, deformations and chromosomal abnormalities
DQ39	diag	Congenital malformations of oesophagus	Congenital malformations, deformations and chromosomal abnormalities
DQ40	diag	Other congenital malformations of upper alimentary tract	Congenital malformations, deformations and chromosomal abnormalities
DQ41	diag	Congenital absence, atresia and stenosis of small intestine	Congenital malformations, deformations and chromosomal abnormalities
DQ42	diag	Congenital absence, atresia and stenosis of large intestine	Congenital malformations, deformations and chromosomal abnormalities
DQ43	diag	Other congenital malformations of intestine	Congenital malformations, deformations and chromosomal abnormalities
DQ44	diag	Congenital malformations of gallbladder, bile ducts and liver	Congenital malformations, deformations and chromosomal abnormalities
DQ50	diag	Congenital malformations of ovaries, fallopian tubes and broad ligaments	Congenital malformations, deformations and chromosomal abnormalities
DQ51	diag	Congenital malformations of uterus and cervix	Congenital malformations, deformations and chromosomal abnormalities
DQ52	diag	Other congenital malformations of female genitalia	Congenital malformations, deformations and chromosomal abnormalities
DQ53	diag	Undescended testicle	Congenital malformations, deformations and chromosomal abnormalities
DQ54	diag	Hypospadias	Congenital malformations, deformations and chromosomal abnormalities
DQ55	diag	Other congenital malformations of male genital organs	Congenital malformations, deformations and chromosomal abnormalities
DQ60	diag	Renal agenesis and other reduction defects of kidney	Congenital malformations, deformations and chromosomal abnormalities
DQ61	diag	Cystic kidney disease	Congenital malformations, deformations and chromosomal abnormalities
DQ62	diag	Congenital obstructive defects of renal pelvis and congenital malformations of ureter	Congenital malformations, deformations and chromosomal abnormalities
DQ63	diag	Other congenital malformations of kidney	Congenital malformations, deformations and chromosomal abnormalities
DQ64	diag	Other congenital malformations of urinary system	Congenital malformations, deformations and chromosomal abnormalities
DQ65	diag	Congenital deformities of hip	Congenital malformations, deformations and chromosomal abnormalities
DQ66	diag	Congenital deformities of feet	Congenital malformations, deformations and chromosomal abnormalities
DQ67	diag	Congenital musculoskeletal deformities of head, face, spine and chest	Congenital malformations, deformations and chromosomal abnormalities
DQ68	diag	Other congenital musculoskeletal deformities	Congenital malformations, deformations and chromosomal abnormalities
DQ69	diag	Polydactyly	Congenital malformations, deformations and chromosomal abnormalities
DQ70	diag	Syndactyly	Congenital malformations, deformations and chromosomal abnormalities
DQ71	diag	Reduction defects of upper limb	Congenital malformations, deformations and chromosomal abnormalities
DQ72	diag	Reduction defects of lower limb	Congenital malformations, deformations and chromosomal abnormalities
DQ74	diag	Other congenital malformations of limb(s)	Congenital malformations, deformations and chromosomal abnormalities
DQ75	diag	Other congenital malformations of skull and face bones	Congenital malformations, deformations and chromosomal abnormalities
DQ76	diag	Congenital malformations of spine and bony thorax	Congenital malformations, deformations and chromosomal abnormalities
DQ77	diag	Osteochondrodysplasia with defects of growth of tubular bones and spine	Congenital malformations, deformations and chromosomal abnormalities
DQ78	diag	Other osteochondrodysplasias	Congenital malformations, deformations and chromosomal abnormalities
DQ79	diag	Congenital malformations of the musculoskeletal system, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities
DQ80	diag	Congenital ichthyosis	Congenital malformations, deformations and chromosomal abnormalities
DQ81	diag	Epidermolysis bullosa	Congenital malformations, deformations and chromosomal abnormalities
DQ82	diag	Other congenital malformations of skin	Congenital malformations, deformations and chromosomal abnormalities
DQ83	diag	Congenital malformations of breast	Congenital malformations, deformations and chromosomal abnormalities
DQ85	diag	Phakomatoses, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities
DQ86	diag	Congenital malformation syndromes due to known exogenous causes, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities
DQ87	diag	Other specified congenital malformation syndromes affecting multiple systems	Congenital malformations, deformations and chromosomal abnormalities
DQ89	diag	Other congenital malformations, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities
DQ90	diag	Down's syndrome	Congenital malformations, deformations and chromosomal abnormalities
DQ92	diag	Other trisomies and partial trisomies of the autosomes, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities
DQ93	diag	Monosomies and deletions from the autosomes, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities
DQ96	diag	Turner's syndrome	Congenital malformations, deformations and chromosomal abnormalities
DQ98	diag	Other sex chromosome abnormalities, male phenotype, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities
DQ99	diag	Other chromosome abnormalities, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities
DR00	diag	Abnormalities of heart beat	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR01	diag	Cardiac murmurs and other cardiac sounds	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR04	diag	Haemorrhage from respiratory passages	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR05	diag	Cough	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR06	diag	Abnormalities of breathing	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR07	diag	Pain in throat and chest	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR09	diag	Other symptoms and signs involving the circulatory and respiratory systems	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR10	diag	Abdominal and pelvic pain	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR11	diag	Nausea and vomiting	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR12	diag	Heartburn	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR13	diag	Dysphagia	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR15	diag	Faecal incontinence	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR16	diag	Hepatomegaly and splenomegaly, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR17	diag	Unspecified jaundice	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR18	diag	Ascites	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR19	diag	Other symptoms and signs involving the digestive system and abdomen	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR20	diag	Disturbances of skin sensation	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR21	diag	Rash and other nonspecific skin eruption	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR22	diag	Localized swelling, mass and lump of skin and subcutaneous tissue	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR23	diag	Other skin changes	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR25	diag	Abnormal involuntary movements	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR26	diag	Abnormalities of gait and mobility	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR27	diag	Other lack of coordination	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR29	diag	Other symptoms and signs involving the nervous and musculoskeletal systems	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR30	diag	Pain associated with micturition	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR31	diag	Unspecified haematuria	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR32	diag	Unspecified urinary incontinence	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR33	diag	Retention of urine	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR35	diag	Polyuria	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR39	diag	Other symptoms and signs involving the urinary system	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR40	diag	Somnolence, stupor and coma	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR41	diag	Other symptoms and signs involving cognitive functions and awareness	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR42	diag	Dizziness and giddiness	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR45	diag	Symptoms and signs involving emotional state	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR46	diag	Symptoms and signs involving appearance and behaviour	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR47	diag	Speech disturbances, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR48	diag	Dyslexia and other symbolic dysfunctions, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR49	diag	Voice disturbances	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR50	diag	Fever of other and unknown origin	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR51	diag	Headache	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR52	diag	Pain, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR53	diag	Malaise and fatigue	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR55	diag	Syncope and collapse	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR56	diag	Convulsions, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR57	diag	Shock, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR58	diag	Haemorrhage, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR59	diag	Enlarged lymph nodes	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR60	diag	Oedema, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR61	diag	Hyperhidrosis	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR62	diag	Lack of expected normal physiological development	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR63	diag	Symptoms and signs concerning food and fluid intake	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR68	diag	Other general symptoms and signs	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR69	diag	Unknown and unspecified causes of morbidity	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR70	diag	Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR73	diag	Elevated blood glucose level	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR74	diag	Abnormal serum enzyme levels	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR76	diag	Other abnormal immunological findings in serum	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR78	diag	Findings of drugs and other substances, not normally found in blood	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR79	diag	Other abnormal findings of blood chemistry	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR80	diag	Isolated proteinuria	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR87	diag	Abnormal findings in specimens from female genital organs	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR91	diag	Abnormal findings on diagnostic imaging of lung	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR93	diag	Abnormal findings on diagnostic imaging of other body structures	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR94	diag	Abnormal results of function studies	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DR99	diag	Other ill-defined and unspecified causes of mortality	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
DS00	diag	Superficial injury of head	Injury, poisoning and certain other consequences of external causes
DS01	diag	Open wound of head	Injury, poisoning and certain other consequences of external causes
DS02	diag	Fracture of skull and facial bones	Injury, poisoning and certain other consequences of external causes
DS03	diag	Dislocation, sprain and strain of joints and ligaments of head	Injury, poisoning and certain other consequences of external causes
DS04	diag	Injury of cranial nerves	Injury, poisoning and certain other consequences of external causes
DS05	diag	Injury of eye and orbit	Injury, poisoning and certain other consequences of external causes
DS06	diag	Intracranial injury	Injury, poisoning and certain other consequences of external causes
DS09	diag	Other and unspecified injuries of head	Injury, poisoning and certain other consequences of external causes
DS10	diag	Superficial injury of neck	Injury, poisoning and certain other consequences of external causes
DS11	diag	Open wound of neck	Injury, poisoning and certain other consequences of external causes
DS12	diag	Fracture of neck	Injury, poisoning and certain other consequences of external causes
DS13	diag	Dislocation, sprain and strain of joints and ligaments at neck level	Injury, poisoning and certain other consequences of external causes
DS14	diag	Injury of nerves and spinal cord at neck level	Injury, poisoning and certain other consequences of external causes
DS15	diag	Injury of blood vessels at neck level	Injury, poisoning and certain other consequences of external causes
DS16	diag	Injury of muscle and tendon at neck level	Injury, poisoning and certain other consequences of external causes
DS19	diag	Other and unspecified injuries of neck	Injury, poisoning and certain other consequences of external causes
DS20	diag	Superficial injury of thorax	Injury, poisoning and certain other consequences of external causes
DS21	diag	Open wound of thorax	Injury, poisoning and certain other consequences of external causes
DS22	diag	Fracture of rib(s), sternum and thoracic spine	Injury, poisoning and certain other consequences of external causes
DS23	diag	Dislocation, sprain and strain of joints and ligaments of thorax	Injury, poisoning and certain other consequences of external causes
DS24	diag	Injury of nerves and spinal cord at thorax level	Injury, poisoning and certain other consequences of external causes
DS27	diag	Injury of other and unspecified intrathoracic organs	Injury, poisoning and certain other consequences of external causes
DS29	diag	Other and unspecified injuries of thorax	Injury, poisoning and certain other consequences of external causes
DS30	diag	Superficial injury of abdomen, lower back and pelvis	Injury, poisoning and certain other consequences of external causes
DS31	diag	Open wound of abdomen, lower back and pelvis	Injury, poisoning and certain other consequences of external causes
DS32	diag	Fracture of lumbar spine and pelvis	Injury, poisoning and certain other consequences of external causes
DS33	diag	Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis	Injury, poisoning and certain other consequences of external causes
DS34	diag	Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level	Injury, poisoning and certain other consequences of external causes
DS36	diag	Injury of intra-abdominal organs	Injury, poisoning and certain other consequences of external causes
DS37	diag	Injury of urinary and pelvic organs	Injury, poisoning and certain other consequences of external causes
DS39	diag	Other and unspecified injuries of abdomen, lower back and pelvis	Injury, poisoning and certain other consequences of external causes
DS40	diag	Superficial injury of shoulder and upper arm	Injury, poisoning and certain other consequences of external causes
DS41	diag	Open wound of shoulder and upper arm	Injury, poisoning and certain other consequences of external causes
DS42	diag	Fracture of shoulder and upper arm	Injury, poisoning and certain other consequences of external causes
DS43	diag	Dislocation, sprain and strain of joints and ligaments of shoulder girdle	Injury, poisoning and certain other consequences of external causes
DS44	diag	Injury of nerves at shoulder and upper arm level	Injury, poisoning and certain other consequences of external causes
DS46	diag	Injury of muscle and tendon at shoulder and upper arm level	Injury, poisoning and certain other consequences of external causes
DS49	diag	Other and unspecified injuries of shoulder and upper arm	Injury, poisoning and certain other consequences of external causes
DS50	diag	Superficial injury of forearm	Injury, poisoning and certain other consequences of external causes
DS51	diag	Open wound of forearm	Injury, poisoning and certain other consequences of external causes
DS52	diag	Fracture of forearm	Injury, poisoning and certain other consequences of external causes
DS53	diag	Dislocation, sprain and strain of joints and ligaments of elbow	Injury, poisoning and certain other consequences of external causes
DS54	diag	Injury of nerves at forearm level	Injury, poisoning and certain other consequences of external causes
DS55	diag	Injury of blood vessels at forearm level	Injury, poisoning and certain other consequences of external causes
DS56	diag	Injury of muscle and tendon at forearm level	Injury, poisoning and certain other consequences of external causes
DS59	diag	Other and unspecified injuries of forearm	Injury, poisoning and certain other consequences of external causes
DS60	diag	Superficial injury of wrist and hand	Injury, poisoning and certain other consequences of external causes
DS61	diag	Open wound of wrist and hand	Injury, poisoning and certain other consequences of external causes
DS62	diag	Fracture at wrist and hand level	Injury, poisoning and certain other consequences of external causes
DS63	diag	Dislocation, sprain and strain of joints and ligaments at wrist and hand level	Injury, poisoning and certain other consequences of external causes
DS64	diag	Injury of nerves at wrist and hand level	Injury, poisoning and certain other consequences of external causes
DS65	diag	Injury of blood vessels at wrist and hand level	Injury, poisoning and certain other consequences of external causes
DS66	diag	Injury of muscle and tendon at wrist and hand level	Injury, poisoning and certain other consequences of external causes
DS67	diag	Crushing injury of wrist and hand	Injury, poisoning and certain other consequences of external causes
DS68	diag	Traumatic amputation of wrist and hand	Injury, poisoning and certain other consequences of external causes
DS69	diag	Other and unspecified injuries of wrist and hand	Injury, poisoning and certain other consequences of external causes
DS70	diag	Superficial injury of hip and thigh	Injury, poisoning and certain other consequences of external causes
DS71	diag	Open wound of hip and thigh	Injury, poisoning and certain other consequences of external causes
DS72	diag	Fracture of femur	Injury, poisoning and certain other consequences of external causes
DS73	diag	Dislocation, sprain and strain of joint and ligaments of hip	Injury, poisoning and certain other consequences of external causes
DS76	diag	Injury of muscle and tendon at hip and thigh level	Injury, poisoning and certain other consequences of external causes
DS79	diag	Other and specified injuries of hip and thigh	Injury, poisoning and certain other consequences of external causes
DS80	diag	Superficial injury of lower leg	Injury, poisoning and certain other consequences of external causes
DS81	diag	Open wound of lower leg	Injury, poisoning and certain other consequences of external causes
DS82	diag	Fracture of lower leg, including ankle	Injury, poisoning and certain other consequences of external causes
DS83	diag	Dislocation, sprain and strain of joints and ligaments of knee	Injury, poisoning and certain other consequences of external causes
DS84	diag	Injury of nerves at lower leg level	Injury, poisoning and certain other consequences of external causes
DS86	diag	Injury of muscle and tendon at lower leg level	Injury, poisoning and certain other consequences of external causes
DS89	diag	Other and unspecified injuries of lower leg	Injury, poisoning and certain other consequences of external causes
DS90	diag	Superficial injury of ankle and foot	Injury, poisoning and certain other consequences of external causes
DS91	diag	Open wound of ankle and foot	Injury, poisoning and certain other consequences of external causes
DS92	diag	Fracture of foot, except ankle	Injury, poisoning and certain other consequences of external causes
DS93	diag	Dislocation, sprain and strain of joints and ligaments at ankle and foot level	Injury, poisoning and certain other consequences of external causes
DS96	diag	Injury of muscle and tendon at ankle and foot level	Injury, poisoning and certain other consequences of external causes
DS99	diag	Other and unspecified injuries of ankle and foot	Injury, poisoning and certain other consequences of external causes
DT00	diag	Superficial injuries involving multiple body regions	Injury, poisoning and certain other consequences of external causes
DT01	diag	Open wounds involving multiple body regions	Injury, poisoning and certain other consequences of external causes
DT02	diag	Fractures involving multiple body regions	Injury, poisoning and certain other consequences of external causes
DT03	diag	Dislocations, sprains and strains involving multiple body regions	Injury, poisoning and certain other consequences of external causes
DT06	diag	Other injuries involving multiple body regions, not elsewhere classified	Injury, poisoning and certain other consequences of external causes
DT07	diag	Unspecified multiple injuries	Injury, poisoning and certain other consequences of external causes
DT09	diag	Other injuries of spine and trunk, level unspecified	Injury, poisoning and certain other consequences of external causes
DT10	diag	Fracture of upper limb, level unspecified	Injury, poisoning and certain other consequences of external causes
DT11	diag	Other injuries of upper limb, level unspecified	Injury, poisoning and certain other consequences of external causes
DT12	diag	Fracture of lower limb, level unspecified	Injury, poisoning and certain other consequences of external causes
DT13	diag	Other injuries of lower limb, level unspecified	Injury, poisoning and certain other consequences of external causes
DT14	diag	Injury of unspecified body region	Injury, poisoning and certain other consequences of external causes
DT15	diag	Foreign body on external eye	Injury, poisoning and certain other consequences of external causes
DT16	diag	Foreign body in ear	Injury, poisoning and certain other consequences of external causes
DT17	diag	Foreign body in respiratory tract	Injury, poisoning and certain other consequences of external causes
DT18	diag	Foreign body in alimentary tract	Injury, poisoning and certain other consequences of external causes
DT19	diag	Foreign body in genitourinary tract	Injury, poisoning and certain other consequences of external causes
DT20	diag	Burn and corrosion of head and neck	Injury, poisoning and certain other consequences of external causes
DT21	diag	Burn and corrosion of trunk	Injury, poisoning and certain other consequences of external causes
DT22	diag	Burn and corrosion of shoulder and upper limb, except wrist and hand	Injury, poisoning and certain other consequences of external causes
